directorio_hog,ingreso,gasto
20016601,3508333.33333333,2157046.83333333
20016701,5500000,7210604.11111111
20016801,7272500,3907054.61111111
20016901,2033333.33333333,2870289
20017001,3700000,2718233.33333333
20017101,2533333.33333333,1874035.16666667
20017601,4150000,5414176.66666667
20017701,2625000,6310597.5
20017801,8250000,7229502.33333333
20017901,3508333.33333333,3189339.66666667
20018001,1604333.33333333,2740477
20021701,3800000,3191533.33333333
20021801,835000,681983.333333333
20021901,879666.666666667,1210500
20022001,1806500,2171233.33333333
20022101,100000,1288500
20022201,2370000,986833.333333333
20022301,3291666.66666667,3343000
20022401,1206333.33333333,1363600
20022501,1108000,987333.333333333
20022601,832000,1166000
20022701,2273000,2643033.33333333
20022801,1756833.33333333,1306966.66666667
20022802,3590000,3014500
20022901,2106000,1748166.66666667
20023001,550000,901731.111111111
20023101,300000,1060333.33333333
20023201,880000,1218300
20023301,1738333.33333333,1745900
20023401,1384000,1735233.33333333
20023501,2793000,1627542
20023601,1422500,1919370.5
20023701,590500,783142.055555556
20023801,1064000,1411182.16666667
20023901,1628333.33333333,1918333.33333333
20023902,700000,1317166.66666667
20024001,1366000,1612423.66666667
20024101,2364166.66666667,2085184.33333333
20024401,1397583.33333333,1610033.33333333
20024501,2047083.33333333,2760007.58333333
20024601,100000,1372923.41666667
20024701,600000,1300500
20024801,1400000,1023433.33333333
20024901,860000,1424790.08333333
20025001,1260000,1095551.66666667
20025101,100000,230100
20025201,2124000,1201616.66666667
20025301,300000,707166.666666667
20025401,2352625,2566516.66666667
20025501,1269000,2961031.33333333
20025601,2548583.33333333,3249966.91666667
20025901,2449333.33333333,1993261.58333333
20026101,1118000,3128613.33333333
20026201,NA,1009016.66666667
20026301,950000,1728476.66666667
20026401,2480000,1731097.66666667
20026501,450000,1055217
20026601,900000,1096250
20026701,1071000,1538541.66666667
20026801,1533333.33333333,2005981.5
20026901,2239999.91666667,3031316.66666667
20027001,1600000,2004333.33333333
20027101,2346666.66666667,1748733.33333333
20027201,1111000,981000
20027301,1625000,1373833.33333333
20027401,2047083.33333333,1366341.66666667
20037701,4591666.66666667,2519837.33333333
20037801,10574166.5,8410193.66666667
20037901,7660000,3957573.83333333
20038001,2100000,3857980.25
20038101,4723333.33333333,2785642.5
20038201,6800000,6678743.5
20038301,620833.333333333,1261689.83333333
20038401,1403333.33333333,1509243
20038501,3113333.33333333,2826848.66666667
20038601,2900000,2414687.41666667
20038701,3638166.58333333,2322591.16666667
20038801,2516666.66666667,2946095.83333333
20039001,7291666.66666667,3647032.58333333
20039101,1083333.33333333,1515557.66666667
20039201,2650000,4615066.66666667
20039301,964166.666666667,1482966.66666667
20039401,5840000,3717853
20039501,7713333.25,3679235.16666667
20039601,1309999,3469304.5
20039701,850000,1292728.25
20039901,1800000,1664983.33333333
20040001,1183000,3739084
20040101,2960100,10626694.8333333
20040201,2724333.33333333,2122106.83333333
20047201,1700000,2280826.33333333
20047301,116666.666666667,1146745.11111111
20047401,50833.25,1778783.11111111
20047501,2874000,3351521.33333333
20047601,5180000,2928659.11111111
20047701,10000000,5255427.66666667
20050001,1200000,1259452.5
20050201,NA,2129499.83333333
20050401,4600000,3402103
20050501,3133333.33333333,2582196.66666667
20050601,3541666.66666667,2122749
20061601,2976666.66666667,2378926.94444444
20061701,551666.666666667,1116126.91666667
20061801,2738916.66666667,1916609.52777778
20062101,1320000,1532814
20062201,1123000,1169783.33333333
20062401,600000,1361628.66666667
20062501,100000,722000
20062601,1045000,913416.666666667
20065301,2115683.33333333,2287079
20066001,1301066.66666667,1939265.77777778
20066501,1265833.33333333,1890169.58333333
20066601,1100000,1461863.5
20066701,1200000,1548400
20066801,1250000,1547650
20066901,3640000,2053941.33333333
20067001,1563333.33333333,2149359.75
20067101,615833.333333333,951221.5
20067201,1527416.66666667,1753475
20067301,1500000,1598832.16666667
20067401,4396000,4557148.33333333
20067501,50833.3333333333,1509211.08333333
20067601,2369500,5422625.33333333
20067701,1346666.66666667,1927541.16666667
20067801,2112000,2480285.58333333
20067901,1400000,1484865.94444444
20068001,394166.583333333,1122949
20068101,1109999,2782649.11111111
20081101,670000,997650
20081201,1060583.33333333,962791.666666667
20081401,1239033.33333333,1046633.33333333
20081501,1203666.66666667,668606.666666667
20081701,1507916.66666667,1352194.5
20081901,509166.666666667,546924.583333333
20082101,1023333.33333333,1609083.33333333
20082201,949916.666666667,1336288.66666667
20082301,725000,2147433.33333333
20082401,2325625,2123819.66666667
20082501,1400000,2184492
20082601,1162500,1502041.66666667
20082701,195000,937001.666666667
20082801,655600,1492533.33333333
20082901,2516666.66666667,1244166.66666667
20082902,2101666.66666667,1819250
20083001,550000,627318.333333333
20083101,937433.333333333,841835
20083201,655600,1571985
20083301,900000,1259416.66666667
20083401,1540500,1213783.33333333
20083501,796666.666666667,2353646.16666667
20083601,1552500,1249723.83333333
20083701,600000,1023877.83333333
20083801,250000,995057
20083901,NA,880125
20084001,920000,1177000
20084101,5000000,5945166.16666667
20084201,256250,517884
20084301,1550000,1423938.66666667
20084401,762000,2174500
20084501,2024300,2490053.33333333
20084601,1709766.66666667,2241466.66666667
20084701,1613333.33333333,1448850
20084801,965000,1891116.41666667
20089901,2285938,3321328.56
20090401,8431666.66666667,3959391.33333333
20090501,396833.333333333,5312772.77777778
20090601,3535000,3757520.33333333
20092201,13402499.75,6958668.5
20092501,1274181.25,1216957.26
20092701,7116333.33333333,4526080.11111111
20092801,NA,1969055.52777778
20092901,6700000,4203078.44444444
20093001,450000,2130551.36111111
20093201,1568333.33333333,3210566.66666667
20093301,600000,2064086.77777778
20093501,810333.333333333,1586846.66666667
20093601,3554833.33333333,3475619.77777778
20093801,1600000,2544365.25
20093901,8599666.66666667,6823368.16666667
20094001,7172000,6706338.5
20094601,5650000,10045321.3333333
20095101,NA,1567515.77777778
20095102,809000,1784349.11111111
20095201,2750000,4807695.77777778
20095301,2563333.33333333,1807907.44444444
20095401,2495000,3179690.77777778
20095501,2355000,1045043
20095901,454166.666666667,2498612
20096101,1361166.66666667,2722500
20096201,750000,2212300
20096401,590000,1152200
20096501,853800,1730626.66666667
20096701,14428415.6666667,4333449.88
20097001,915000,3216799.5
20097201,800000,1365766.66666667
20097301,1033333.33333333,1559596.66666667
20097401,1335833.33333333,1547325.5
20099801,1100000,921000
20099901,1189166.66666667,1119166.66666667
20100001,750000,1046666.66666667
20100101,NA,1281733.33333333
20100201,700000,1079666.66666667
20100301,1100000,900000
20100401,NA,899666.666666667
20100601,1156416.66666667,1177672.25
